User ID,Latitude,Longitude,Degree,ClusteringCoefficient,Gender,TwitterFriendCount,TwitterFollowerCount
224351,40.733596,-74.003139,2,0.0,male,142,168
131527,34.010279,-118.495523,0,0.0,male,656,249
262430,34.075314,-118.253499,0,0.0,male,696,97
199229,40.718363,-73.990817,0,0.0,male,377,218
21174,40.741632,-73.978377,0,0.0,female,596,671
2075,40.773007,-73.915886,0,0.0,male,460,322
215044,40.729888,-74.000613,0,0.0,male,926,644
39012,40.736627,-73.990885,0,0.0,male,99,73
86454,37.797572,-122.432625,0,0.0,male,557,159
33743,42.349654,-71.082174,0,0.0,male,625,637
205487,37.789526,-122.420881,0,0.0,male,383,303
152779,40.731996,-74.003582,0,0.0,male,178,100
16862,40.728156,-73.981262,0,0.0,male,220,136
212760,40.733942,-74.002547,0,0.0,male,2012,495
3429,40.780589,-73.980739,0,0.0,male,978,913
174344,40.780589,-73.980739,0,0.0,female,138,158
113513,40.780589,-73.980739,0,0.0,female,210,116
5819,40.780589,-73.980739,0,0.0,female,439,148
62943,40.780589,-73.980739,0,0.0,male,104,45
172587,40.780589,-73.980739,0,0.0,female,164,417
93739,40.752294,-74.008758,0,0.0,female,156,65
133734,40.772531,-73.983442,0,0.0,female,229,121
135814,40.721724,-73.994553,0,0.0,male,1111,403
152600,42.361186,-71.069111,0,0.0,male,588,705
123583,40.730832,-74.000951,0,0.0,male,294,139
3255,40.728271,-73.988659,0,0.0,male,751,631
179103,42.350351,-71.079696,0,0.0,female,325,195
64874,37.792261,-122.409636,0,0.0,female,1369,568
151267,37.792261,-122.409636,0,0.0,male,227,56
200161,40.760781,-73.984337,0,0.0,female,204,480
526,40.731698,-73.989227,0,0.0,male,259,116
265356,40.731698,-73.989227,0,0.0,female,59,40
48783,40.731698,-73.989227,0,0.0,female,105,41
53211,40.731698,-73.989227,0,0.0,male,226,153
155510,40.731698,-73.989227,0,0.0,male,254,181
58159,40.733548,-73.991029,0,0.0,male,1977,1311
75730,40.720408,-73.996878,0,0.0,female,354,616
149002,40.732431,-74.001749,0,0.0,male,187,348
1837,37.764612,-122.432997,0,0.0,male,1373,1740
35526,37.767119,-122.429838,0,0.0,female,111,138
6362,40.086065,-75.230642,0,0.0,female,140,59
265657,42.347018,-71.098937,0,0.0,male,231,43
91930,40.750866,-73.986644,0,0.0,male,183,157
102229,40.74531,-73.978421,0,0.0,female,423,340
169129,37.797699,-122.406388,0,0.0,female,563,1430
160859,38.80435,-77.040607,0,0.0,male,1992,1515
146022,40.787853,-73.974724,0,0.0,female,29,29
227802,40.746245,-73.977551,4,0.5,male,298,171
136635,40.722259,-73.996997,0,0.0,female,108,73
76955,40.7828,-73.973415,0,0.0,male,10,9
230585,42.35165,-71.072053,0,0.0,female,1,0
212460,42.357362,-71.070039,0,0.0,male,91,43
121557,40.743644,-73.983888,0,0.0,male,136,151
5601,42.365861,-71.103542,0,0.0,male,1023,300
93586,40.783251,-73.978201,0,0.0,female,339,1955
36478,40.734668,-73.987763,0,0.0,female,327,8646
190793,40.73007,-74.000354,0,0.0,male,628,440
124085,42.349845,-71.075007,0,0.0,male,318,263
198591,40.749611,-73.979746,0,0.0,male,58,36
206585,42.350341,-71.079684,0,0.0,male,151,168
42242,37.771968,-122.431365,0,0.0,male,25,25
179225,34.098461,-118.32431,0,0.0,male,63,46
3205,34.101762,-118.335339,0,0.0,male,360,439
31751,34.101762,-118.335339,0,0.0,male,171,389
199157,40.72158,-73.957637,0,0.0,female,339,397
173274,40.72158,-73.957637,0,0.0,male,1515,823
173274,40.72158,-73.957637,0,0.0,male,1516,840
89268,37.771927,-122.431029,0,0.0,male,1627,3327
222898,34.157809,-118.397292,0,0.0,male,204,243
133987,40.783946,-73.977886,0,0.0,male,799,1485
225301,40.742334,-73.983855,0,0.0,female,186,97
49715,40.724686,-73.987884,0,0.0,male,1982,767
185979,40.729911,-73.988722,6,0.4,male,83,61
116280,40.752726,-73.977711,1,0.0,male,730,799
16043,40.745989,-73.860054,0,0.0,male,4626,5191
103222,40.755913,-73.982406,0,0.0,male,143,123
8416,33.996333,-118.477762,0,0.0,male,396,446
56829,40.774838,-73.953969,0,0.0,male,395,431
56829,40.774838,-73.953969,0,0.0,male,379,403
93832,37.78742,-122.399358,0,0.0,male,101,141
91174,37.78742,-122.399358,0,0.0,male,49,22
24442,37.78742,-122.399358,0,0.0,male,130,79
92970,40.690141,-73.981977,0,0.0,female,1792,1347
209511,40.753221,-73.983293,0,0.0,male,1123,486
182911,34.090766,-118.387946,120,0.0242296918767507,female,135,27
90161,34.079479,-118.102098,0,0.0,male,475,665
129,40.737049,-73.992906,0,0.0,male,7,31
176516,34.100647,-118.334985,0,0.0,male,1930,652
52467,33.953694,-118.396768,0,0.0,male,766,669
27406,40.719721,-74.00634,0,0.0,male,189,60
157606,40.734316,-73.993543,0,0.0,male,90,72
222076,40.718191,-73.950197,0,0.0,female,698,855
140110,40.728283,-73.987885,0,0.0,male,404,431
209317,39.74396,-104.990516,0,0.0,male,1781,858
3614,40.727041,-73.983836,0,0.0,male,293,171
124560,40.74939,-73.982862,0,0.0,male,286,668
100100,37.798215,-122.407407,0,0.0,female,690,591
3299,40.752473,-73.994512,0,0.0,male,1512,996
115599,40.741583,-73.997631,0,0.0,female,162,118
96709,40.734225,-73.993703,0,0.0,male,2001,1162
64872,40.757124,-73.989483,0,0.0,male,352,236
210711,40.765023,-73.980196,0,0.0,male,96,76
248357,40.765023,-73.980196,4,0.1666666666666666,male,130,109
132684,40.765023,-73.980196,0,0.0,female,205,143
96366,40.729155,-73.987029,0,0.0,male,388,340
121290,34.117666,-118.26138,0,0.0,male,500,1024
64139,40.719339,-74.004872,0,0.0,male,218,201
52386,40.719339,-74.004872,23,0.075098814229249,male,1844,1944
51795,40.719339,-74.004872,0,0.0,male,931,809
62016,37.779946,-122.389981,0,0.0,female,721,629
36646,38.91793,-77.023665,0,0.0,male,1347,1434
179853,40.762982,-73.975883,0,0.0,female,373,298
30840,40.715013,-73.951464,0,0.0,male,181,81
30840,40.715013,-73.951464,0,0.0,male,204,87
253109,40.715013,-73.951464,0,0.0,male,71,24
50414,41.893575,-87.622815,0,0.0,male,424,43
72008,39.739798,-104.962783,0,0.0,male,569,1294
77969,40.726354,-74.001956,0,0.0,female,288,715
202337,40.730657,-73.999979,0,0.0,female,1666,1457
122412,39.718623,-104.987309,0,0.0,male,600,818
182613,40.716005,-73.997273,0,0.0,male,183,67
2587,38.897579,-77.036712,0,0.0,male,197,371
222125,38.897579,-77.036712,0,0.0,female,188,225
81143,38.897579,-77.036712,0,0.0,male,719,841
248053,40.753728,-73.983688,0,0.0,male,425,987
14990,40.753728,-73.983688,0,0.0,male,238,113
